               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10887,            0.024696,                   0,            0.022468,                0.18,            0.013695,           0.0019137,            0.083636,             0.03677,                   0,             0.00058,             0.00058,             0.09478
                   1,            0.086028,            0.020718,                   0,            0.051653,                0.25,            0.037774,           0.0059353,            0.064945,            0.041911,                   0,           0.0011642,           0.0011642,            0.089464
                   2,            0.069262,            0.020804,                   0,            0.084419,             0.44119,            0.068444,            0.010367,            0.055146,            0.044015,                   0,           0.0017426,           0.0017426,            0.084143
                   3,              0.0603,            0.020075,                   0,             0.17419,                0.35,             0.13019,            0.025602,            0.047669,            0.045555,                   0,           0.0023151,           0.0023151,            0.078815
                   4,             0.05455,            0.018276,                   0,             0.35323,               0.335,             0.27514,              0.0703,             0.04076,            0.043614,                   0,           0.0028818,           0.0028818,            0.073482
                   5,            0.051679,            0.017321,                   0,             0.50344,             0.65395,             0.48406,              0.1306,            0.043305,            0.037567,                   0,           0.0034426,           0.0034426,            0.068143
                   6,            0.047731,            0.016289,                   0,             0.47046,                0.78,             0.55517,             0.24175,            0.034343,            0.035634,                   0,           0.0039976,           0.0039976,            0.062798
                   7,            0.046394,            0.014373,                   0,             0.67675,                0.87,             0.77698,              0.3175,            0.034274,            0.030672,                   0,           0.0045468,           0.0045468,            0.057447
                   8,            0.045599,            0.013617,                   0,             0.63867,               0.665,             0.65062,             0.29623,             0.03964,            0.029838,                   0,           0.0050901,           0.0050901,             0.05209
                   9,            0.045584,            0.013578,                   0,             0.52254,               0.785,             0.64361,             0.15402,            0.038468,            0.027117,                   0,           0.0056276,           0.0056276,            0.046728
                  10,            0.042543,            0.012625,                   0,             0.83416,             0.77966,             0.83786,             0.34614,            0.033172,            0.026201,                   0,           0.0061592,           0.0061592,            0.041359
                  11,            0.041828,            0.012162,                   0,             0.79501,               0.895,             0.87918,             0.43365,            0.029858,            0.026007,                   0,            0.006685,            0.006685,            0.035985
                  12,            0.039046,            0.011524,                   0,             0.81495,             0.81472,              0.8663,             0.34591,            0.032689,             0.02509,                   0,            0.007205,            0.007205,            0.030605
                  13,            0.039619,            0.011643,                   0,             0.83119,               0.915,             0.90935,             0.51924,            0.028358,            0.025357,                   0,           0.0077191,           0.0077191,            0.025219
                  14,            0.040557,            0.011355,                   0,             0.83084,             0.83499,             0.85325,             0.39827,            0.030273,            0.027158,                   0,           0.0082274,           0.0082274,            0.019827
                  15,            0.038836,            0.011319,                   0,             0.80313,                0.86,             0.83914,             0.44066,             0.02883,            0.025941,                   0,           0.0087298,           0.0087298,             0.01443
                  16,            0.038093,            0.011399,                   0,              0.8557,               0.835,             0.87087,             0.47532,            0.029594,            0.024562,                   0,            0.009208,            0.009208,            0.009208
                  17,            0.037324,            0.011034,                   0,             0.85161,             0.88958,             0.90068,             0.47904,            0.031682,             0.02522,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.035051,            0.011041,                   0,             0.80366,                0.84,             0.85049,              0.4895,             0.02576,            0.024797,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.034065,            0.010557,                   0,             0.89704,               0.915,             0.91862,             0.47818,            0.028217,            0.023305,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.036009,            0.010858,                   0,             0.88187,                 0.9,             0.91659,               0.538,            0.024775,            0.023749,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,             0.03329,            0.010195,                   0,             0.84875,                0.87,             0.88789,             0.49096,             0.02726,            0.023769,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.033098,            0.010512,                   0,             0.92516,                0.88,              0.9341,              0.4899,            0.027512,            0.022991,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.032862,            0.010408,                   0,             0.86728,             0.91482,             0.93057,             0.56362,            0.025086,            0.023201,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.032184,            0.010108,                   0,             0.87001,                0.93,             0.94524,             0.58845,             0.02488,            0.021682,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.031441,           0.0097915,                   0,             0.88202,               0.935,             0.94372,             0.61353,            0.023445,            0.021493,                   0,            0.008812,            0.008812,            0.008812
                  26,             0.03105,           0.0095589,                   0,             0.86039,               0.895,             0.93611,             0.58851,            0.024674,            0.022421,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.031742,           0.0099779,                   0,             0.93157,             0.88493,             0.94034,             0.54315,            0.025192,            0.022482,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.030954,           0.0099322,                   0,             0.84927,             0.92969,             0.93861,             0.60919,             0.02498,             0.02203,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.030749,           0.0094925,                   0,             0.91491,               0.915,             0.94836,             0.58568,            0.024841,            0.021252,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.030391,            0.009742,                   0,             0.86558,               0.935,             0.93335,             0.62046,            0.022733,            0.020551,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.030712,           0.0098509,                   0,             0.84286,               0.915,             0.93302,             0.58159,            0.023783,            0.022902,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.029751,           0.0096723,                   0,             0.87311,                0.93,             0.94106,              0.6204,            0.024261,            0.020956,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,             0.02933,           0.0093555,                   0,             0.88833,             0.91486,             0.91955,             0.56921,            0.025162,            0.022872,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.030044,           0.0092421,                   0,             0.88403,               0.915,             0.93221,             0.55166,            0.024825,            0.023904,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.029272,           0.0088782,                   0,             0.85113,               0.915,             0.93287,              0.6059,            0.022885,            0.021927,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.029276,           0.0093459,                   0,             0.92819,               0.905,             0.93941,             0.57432,            0.024631,            0.021922,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.028989,           0.0091494,                   0,             0.86508,               0.935,             0.91751,             0.58397,            0.023892,            0.022118,                   0,            0.008218,            0.008218,            0.008218
                  38,             0.02913,             0.00915,                   0,             0.89641,               0.915,             0.93503,             0.61479,            0.022659,            0.023061,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.028525,           0.0090293,                   0,             0.88793,               0.885,             0.93554,             0.60221,            0.023569,            0.022051,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.028294,           0.0087744,                   0,             0.92589,             0.87456,             0.93057,             0.58028,               0.025,            0.022333,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.028445,           0.0090588,                   0,             0.89895,             0.88961,             0.94465,             0.57871,            0.023701,            0.020926,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.027635,           0.0089633,                   0,             0.88246,                0.94,             0.95251,             0.61718,            0.023624,            0.021553,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027508,           0.0089338,                   0,             0.92964,               0.925,             0.96325,             0.60172,            0.022825,             0.02044,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.028066,           0.0090953,                   0,             0.93318,                0.91,             0.94745,             0.59256,            0.023963,            0.020947,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.028362,           0.0088973,                   0,             0.90629,               0.935,             0.95853,             0.61983,            0.022733,            0.020196,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.027456,             0.00885,                   0,             0.89202,             0.94998,             0.95026,             0.57765,            0.025238,            0.021098,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.027939,           0.0086507,                   0,             0.88151,             0.92996,             0.94855,             0.62934,            0.022149,            0.021007,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.027646,           0.0086422,                   0,             0.94726,                 0.9,             0.96255,             0.63502,            0.022152,            0.020157,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.027207,           0.0087278,                   0,             0.89097,             0.93974,             0.95825,             0.57402,            0.023979,            0.020455,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.027463,           0.0085472,                   0,              0.8738,             0.93476,             0.94876,             0.59628,            0.022783,            0.020865,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.026784,           0.0084925,                   0,             0.91302,               0.895,             0.95047,             0.61576,            0.022808,            0.021004,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.027034,           0.0084214,                   0,             0.92998,             0.92977,             0.95476,             0.59766,            0.023286,            0.019961,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.026398,           0.0083451,                   0,             0.88773,                0.95,             0.94089,             0.64544,            0.022353,            0.020087,                   0,            0.007426,            0.007426,            0.007426
                  54,              0.0265,           0.0083574,                   0,             0.90471,               0.905,             0.92948,             0.61164,            0.025548,            0.020714,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.026281,           0.0083346,                   0,             0.90498,             0.90477,             0.93097,             0.60254,            0.023745,            0.021766,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.025516,           0.0085232,                   0,             0.94565,             0.86995,             0.95139,             0.60622,            0.022512,            0.020404,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.026143,           0.0083912,                   0,             0.87324,             0.92999,             0.94078,             0.59992,            0.023754,            0.020847,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.026495,           0.0083068,                   0,             0.91522,                0.92,             0.93897,             0.58806,            0.022974,            0.020597,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.026432,           0.0082715,                   0,             0.88566,                0.93,             0.94685,             0.62662,            0.023538,            0.020735,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.025791,           0.0079591,                   0,             0.91837,             0.89999,             0.93971,             0.62098,            0.023693,            0.020016,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.026102,            0.007797,                   0,             0.93297,               0.905,             0.94806,              0.5958,            0.024061,            0.020279,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.025394,           0.0084114,                   0,             0.89854,             0.92989,             0.94708,             0.62591,              0.0225,            0.020441,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.025714,           0.0082296,                   0,             0.93814,             0.90991,             0.94944,              0.6267,            0.022644,            0.020425,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.025187,           0.0082338,                   0,             0.89593,                0.91,             0.94258,             0.64014,            0.023064,            0.020877,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.025543,           0.0080936,                   0,             0.96222,               0.845,             0.94509,             0.61194,            0.023602,            0.020306,                   0,            0.006832,            0.006832,            0.006832
                  66,             0.02517,           0.0078349,                   0,             0.91994,               0.905,             0.94722,             0.61932,            0.022725,            0.020287,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.024949,            0.008125,                   0,             0.91412,                0.91,             0.96113,             0.59165,            0.024237,            0.020575,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.025058,           0.0078221,                   0,             0.92104,             0.87489,             0.94958,             0.62108,            0.023008,            0.021516,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,              0.0253,           0.0080047,                   0,             0.89215,             0.90991,             0.93304,             0.63082,            0.021806,            0.022235,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.024462,           0.0076661,                   0,             0.92268,               0.895,             0.94589,             0.61133,            0.024378,            0.021743,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.025109,           0.0077734,                   0,             0.89938,                0.94,             0.95708,               0.605,            0.023752,            0.021717,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.024192,            0.007609,                   0,             0.87669,             0.92425,             0.92806,              0.6232,             0.02283,            0.021497,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.024162,           0.0078542,                   0,             0.91563,               0.925,              0.9519,             0.64634,            0.021958,            0.020377,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.024782,            0.007868,                   0,             0.94812,               0.915,             0.95743,             0.61299,             0.02364,            0.019339,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.024201,           0.0075366,                   0,             0.91325,             0.89488,             0.94679,             0.64862,            0.022215,            0.020775,                   0,            0.006337,            0.006337,            0.006337
