               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10587,            0.024575,                   0,            0.027804,                0.43,            0.022953,           0.0036975,            0.076762,            0.039313,                   0,             0.00058,             0.00058,             0.09478
                   1,            0.075426,            0.022369,                   0,             0.27285,             0.36397,             0.22346,            0.049226,            0.058417,            0.040754,                   0,            0.001163,            0.001163,            0.089463
                   2,            0.058903,            0.021175,                   0,             0.32749,               0.485,             0.32964,            0.060981,            0.049929,            0.043509,                   0,           0.0017389,           0.0017389,            0.084139
                   3,            0.053384,            0.019576,                   0,             0.29609,                0.51,             0.30778,            0.054688,            0.048852,            0.038887,                   0,           0.0023077,           0.0023077,            0.078808
                   4,            0.049569,            0.017049,                   0,             0.41187,               0.485,             0.46285,            0.087474,            0.042368,            0.036244,                   0,           0.0028694,           0.0028694,            0.073469
                   5,            0.045872,            0.015895,                   0,             0.74005,               0.685,             0.75808,             0.24282,             0.03759,            0.032409,                   0,           0.0034241,           0.0034241,            0.068124
                   6,            0.044667,            0.015038,                   0,             0.70237,               0.875,               0.746,             0.36115,            0.031743,            0.032746,                   0,           0.0039717,           0.0039717,            0.062772
                   7,            0.041535,            0.013694,                   0,             0.77793,                0.79,             0.80697,             0.22515,             0.03987,            0.025983,                   0,           0.0045122,           0.0045122,            0.057412
                   8,             0.04492,            0.013084,                   0,             0.73008,                0.84,             0.76664,             0.31808,            0.036742,            0.027521,                   0,           0.0050456,           0.0050456,            0.052046
                   9,            0.043834,            0.013047,                   0,              0.8832,             0.86961,             0.91068,             0.46656,            0.029605,            0.027019,                   0,           0.0055719,           0.0055719,            0.046672
                  10,            0.040386,             0.01239,                   0,              0.7768,             0.90488,              0.8562,             0.45269,            0.028792,            0.026321,                   0,           0.0060912,           0.0060912,            0.041291
                  11,              0.0409,            0.011713,                   0,             0.84576,             0.90478,             0.90371,             0.42308,            0.031286,            0.024377,                   0,           0.0066034,           0.0066034,            0.035903
                  12,            0.038714,              0.0113,                   0,             0.86424,             0.85944,             0.86622,             0.45302,            0.029237,              0.0246,                   0,           0.0071085,           0.0071085,            0.030508
                  13,            0.038098,            0.011353,                   0,             0.85435,             0.87989,             0.88392,             0.48774,            0.030599,            0.023891,                   0,           0.0076065,           0.0076065,            0.025107
                  14,            0.040306,            0.010999,                   0,             0.84174,               0.905,             0.86515,             0.51497,            0.029659,             0.02429,                   0,           0.0080974,           0.0080974,            0.019697
                   0,             0.10564,            0.024407,                   0,            0.065104,                0.18,            0.032702,           0.0050416,             0.08183,            0.036894,                   0,             0.00058,             0.00058,             0.09478
                  15,            0.039139,            0.010934,                   0,             0.87861,                0.87,             0.90489,             0.50545,            0.027193,            0.025098,                   0,           0.0085813,           0.0085813,            0.014281
                  16,            0.037629,            0.011183,                   0,             0.92972,             0.85981,             0.91109,             0.53712,             0.02828,            0.024517,                   0,             0.00904,             0.00904,             0.00904
